time,seconds_elapsed,z,y,x
1781801335496902700,0.070902587890625,-0.013667106628417969,-0.00011102110147476196,-0.00009624660015106201
1781801335512916700,0.086916748046875,-0.03760242462158203,0.0008439421653747559,-0.0018206015229225159
1781801335528932600,0.1029326171875,-0.04238319396972656,-0.0005863755941390991,-0.001151055097579956
1781801335544947200,0.118947265625,-0.020829200744628906,-0.0020334944128990173,-0.01006440818309784
1781801335560956700,0.134956787109375,-0.011242866516113281,0.0037220939993858337,-0.009393863379955292
1781801335576969500,0.150969482421875,-0.047183990478515625,0.0008660927414894104,-0.001367911696434021
1781801335592974800,0.166974853515625,-0.035205841064453125,-0.00774797797203064,-0.005480282008647919
1781801335608982800,0.182982666015625,-0.15011310577392578,0.012705005705356598,-0.020184986293315887
1781801335624988400,0.198988525390625,-0.1358633041381836,-0.017762884497642517,-0.05258122831583023
1781801335640993300,0.2149931640625,-0.011262893676757812,0.008947387337684631,-0.0019858628511428833
1781801335656995800,0.230995849609375,0.07735347747802734,-0.015232928097248077,0.038752928376197815
1781801335673000400,0.24700048828125,-0.05911827087402344,0.0013917014002799988,-0.004051864147186279
1781801335688999700,0.262999755859375,-0.0423583984375,0.0038768723607063293,0.0030457153916358948
1781801335704997600,0.27899755859375,-0.016019821166992188,-0.0005815476179122925,-0.004672355949878693
1781801335720997600,0.29499755859375,-0.032776832580566406,0.0018659532070159912,0.009457021951675415
1781801335736997600,0.31099755859375,-0.03995800018310547,-0.005179144442081451,-0.0003603026270866394
1781801335752998000,0.326997802734375,-0.04474639892578125,-0.00019318610429763794,-0.00295209139585495
1781801335769005300,0.34300537109375,-0.03277397155761719,0.004874177277088165,0.0016020387411117554
1781801335785012700,0.3590126953125,-0.03516578674316406,0.0024911165237426758,0.0036483705043792725
1781801335801023000,0.37502294921875,-0.023193359375,0.0050229281187057495,0.005851909518241882
1781801335817026000,0.391026123046875,-0.023192405700683594,-0.014118432998657227,0.015332773327827454
1781801335833032400,0.407032470703125,-0.03037261962890625,0.005034990608692169,0.010306194424629211
1781801335849041200,0.423041259765625,-0.032764434814453125,-0.004317417740821838,0.017158813774585724
1781801335865047800,0.4390478515625,-0.032764434814453125,0.005314193665981293,0.0074888914823532104
1781801335881053700,0.4550537109375,-0.04712963104248047,-0.00645872950553894,0.0025972574949264526
1781801335897056500,0.471056396484375,-0.027975082397460938,-0.008801713585853577,0.007188849151134491
1781801335913064400,0.487064453125,-0.03515625,0.0009736567735671997,0.002117663621902466
1781801335929076000,0.503075927734375,-0.03754997253417969,0.0035013630986213684,0.0020118728280067444
1781801335945086700,0.519086669921875,-0.04473114013671875,-0.0012357383966445923,0.006704255938529968
1781801335961097700,0.53509765625,-0.023180007934570312,-0.006015166640281677,0.0015927106142044067
1781801335977115400,0.551115478515625,-0.03515052795410156,-0.0035296455025672913,0.0014499053359031677
1781801335993136000,0.56713623046875,-0.02557373046875,0.003748364746570587,-0.0010898634791374207
1781801336009157400,0.583157470703125,-0.013606071472167969,-0.00567946583032608,-0.0055456385016441345
1781801336025173500,0.599173583984375,-0.032756805419921875,0.013416774570941925,-0.010579802095890045
1781801336041194200,0.6151943359375,-0.03036212921142578,0.003936082124710083,-0.00118979811668396
1781801336057204500,0.63120458984375,-0.025575637817382812,0.0016893893480300903,0.0060402825474739075
1781801336073220900,0.647220947265625,-0.008813858032226562,-0.0006617605686187744,0.01307147741317749
1781801336089234400,0.663234375,-0.04472827911376953,-0.000508330762386322,0.00345640629529953
1781801336105243600,0.67924365234375,-0.03275775909423828,0.004327751696109772,0.003549531102180481
1781801336121257200,0.69525732421875,-0.03275871276855469,0.0021280422806739807,0.0034403279423713684
1781801336137272000,0.71127197265625,-0.02557373046875,0.004433251917362213,0.00564584881067276
1781801336153282300,0.7272822265625,-0.020784378051757812,0.0020769238471984863,0.005513183772563934
1781801336169286700,0.74328662109375,-0.03275299072265625,0.002226725220680237,0.0076642632484436035
1781801336185295400,0.75929541015625,-0.047119140625,-0.00494636595249176,0.012494869530200958
1781801336201303000,0.775302978515625,-0.013600349426269531,-0.0002643093466758728,0.0030095428228378296
1781801336217313500,0.7913134765625,-0.027963638305664062,0.011706061661243439,0.005260959267616272
1781801336233324000,0.807323974609375,-0.027963638305664062,-0.007392622530460358,0.002819851040840149
1781801336249339600,0.823339599609375,-0.027963638305664062,0.007015906274318695,-0.004371128976345062
1781801336265352700,0.839352783203125,-0.018385887145996094,0.0023188218474388123,0.00023867934942245483
1781801336281362700,0.85536279296875,-0.015993118286132812,0.004730314016342163,0.005112752318382263
1781801336297376800,0.871376708984375,-0.030358314514160156,-0.002266325056552887,0.0073547884821891785
1781801336313396000,0.88739599609375,-0.03753948211669922,0.005015134811401367,0.00003732740879058838
1781801336329414000,0.903413818359375,-0.018385887145996094,0.0024709999561309814,-0.009439520537853241
1781801336345430300,0.91943017578125,-0.03753852844238281,-0.002317287027835846,-0.000005982816219329834
1781801336361444000,0.935444091796875,-0.032749176025390625,-0.0022096633911132812,-0.002492345869541168
1781801336377453000,0.951453125,-0.023172378540039062,-0.0021743550896644592,-0.00014987587928771973
1781801336393467100,0.967467041015625,-0.037537574768066406,-0.004282847046852112,0.006888240575790405
1781801336409483800,0.98348388671875,-0.023171424865722656,-0.004167839884757996,0.006696462631225586
1781801336425497900,0.999497802734375,-0.035141944885253906,-0.001677006483078003,0.004104785621166229
1781801336441507800,1.0155078125,-0.027957916259765625,0.0007601603865623474,0.013530336320400238
1781801336457512700,1.0315126953125,-0.025564193725585938,-0.0038392841815948486,0.015834353864192963
1781801336481526800,1.05552685546875,-0.018383026123046875,-0.013414718210697174,0.004005648195743561
1781801336505546200,1.079546142578125,-0.004014015197753906,0.0057389140129089355,0.008507639169692993
1781801336521567200,1.095567138671875,-0.0303497314453125,-0.0015320181846618652,0.0012791380286216736
1781801336537585700,1.111585693359375,-0.032741546630859375,0.0007701292634010315,0.0011717677116394043
1781801336553598200,1.12759814453125,-0.03273963928222656,-0.006367407739162445,0.0033339858055114746
1781801336569614300,1.1436142578125,-0.018372535705566406,0.00560297816991806,-0.008779816329479218
1781801336585625900,1.1596259765625,-0.03752422332763672,0.007993869483470917,-0.0041964128613471985
1781801336601642200,1.175642333984375,-0.015974998474121094,-0.006468713283538818,-0.004284895956516266
1781801336617660700,1.19166064453125,-0.011186599731445312,-0.001526661217212677,-0.0043233707547187805
1781801336633676800,1.2076767578125,-0.023156166076660156,0.010536439716815948,-0.004485107958316803
1781801336649697300,1.223697265625,-0.023156166076660156,-0.0013780593872070312,0.00017606467008590698
1781801336665715000,1.23971484375,-0.020765304565429688,0.010833628475666046,0.00026351213455200195
1781801336681726700,1.255726806640625,-0.023157119750976562,-0.005971044301986694,0.007391974329948425
1781801336697742000,1.2717421875,-0.023157119750976562,0.0036067813634872437,-0.006973817944526672
1781801336713760500,1.287760498046875,-0.03273582458496094,0.013080477714538574,0.009938761591911316
1781801336729778400,1.3037783203125,-0.032731056213378906,0.0008777230978012085,-0.011797085404396057
1781801336745797400,1.31979736328125,-0.03991508483886719,0.005709797143936157,0.009742163121700287
1781801336761811700,1.335811767578125,-0.008788108825683594,-0.003958575427532196,0.004846014082431793
1781801336777827300,1.351827392578125,-0.037517547607421875,0.005567915737628937,-0.004766158759593964
1781801336793842700,1.3678427734375,-0.032726287841796875,-0.0017036497592926025,-0.004954829812049866
1781801336809854500,1.3838544921875,-0.003994941711425781,0.007958680391311646,-0.002719968557357788
1781801336825869800,1.399869873046875,-0.03272533416748047,0.010364003479480743,-0.0027581006288528442
1781801336841888300,1.41588818359375,-0.011178016662597656,0.005664847791194916,-0.010038554668426514
1781801336857905000,1.43190478515625,-0.02554035186767578,0.015257388353347778,-0.01263245940208435
1781801336873913300,1.447913330078125,-0.011173248291015625,-0.0015987902879714966,-0.010327041149139404
1781801336889926400,1.463926513671875,-0.0015954971313476562,0.0031891614198684692,-0.0056815966963768005
1781801336905934600,1.4799345703125,-0.018354415893554688,-0.003942728042602539,-0.0010011717677116394
1781801336921943800,1.49594384765625,-0.027929306030273438,0.003239855170249939,-0.008326858282089233
1781801336937949700,1.51194970703125,-0.020745277404785156,-0.0017426759004592896,0.0012157559394836426
1781801336953962200,1.527962158203125,-0.05426025390625,0.005197346210479736,-0.0013286322355270386
1781801336969974800,1.543974853515625,-0.037499427795410156,0.005144082009792328,-0.003820165991783142
1781801336985980200,1.559980224609375,-0.030317306518554688,-0.0019760578870773315,0.008147507905960083
1781801337001987800,1.57598779296875,-0.011164665222167969,-0.004327178001403809,-0.006225980818271637
1781801337017989600,1.59198974609375,-0.008769989013671875,0.0052525922656059265,-0.0013756155967712402
1781801337033990000,1.607989990234375,-0.02313232421875,-0.013902261853218079,0.007915616035461426
1781801337049996000,1.62399609375,-0.01594829559326172,0.0027576014399528503,0.0029762983322143555
1781801337065998000,1.639998046875,-0.008764266967773438,-0.004612423479557037,-0.0041170865297317505
1781801337082001000,1.6560009765625,-0.006369590759277344,-0.00696120411157608,0.005370631814002991
1781801337098012200,1.67201220703125,-0.0159454345703125,0.0050631314516067505,-0.011577703058719635
1781801337114021400,1.688021484375,-0.011155128479003906,-0.00465567409992218,-0.006789170205593109
1781801337130028000,1.704028076171875,-0.020730972290039062,0.0024709776043891907,-0.004554525017738342
